Title,URL,Processed,Error,Whisper Transcription Time (MM:SS),Total Processing Time (MM:SS),Device
Jerma Streams - Black & White,https://www.youtube.com/watch?v=kH5dZxGXyxo,True,,0:09:12,0:09:37,3090
Jerma Streams - Trepang2 (Part 2 Finale),https://www.youtube.com/watch?v=mLsh4ZABsAw,True,,0:03:02,0:03:14,3090
Jerma Streams - No More Heroes III (Part 2),https://www.youtube.com/watch?v=CenhhSAeCp4,True,,0:06:40,0:06:42,3090
Title,URL,Processed,Error,Processing Time (MM:SS)
"Jerma Streams - House Flipper Invitational [with DougDoug, Vinesauce, Vargskelethor, and More]",https://www.youtube.com/watch?v=6uCG0r3W7Jc,True,,0:09:06
Jerma Streams - Trepang2,https://www.youtube.com/watch?v=ejivGcXO_uA,True,,0:04:16
Jerma Streams - HELLCARD [with Ster],https://www.youtube.com/watch?v=ExNu5fqVeYg,True,,0:03:09
Jerma Streams - Bread & Fred [with Ster],https://www.youtube.com/watch?v=G5vORJNzBps,True,,0:04:03
"Jerma Streams - Sorcery! (Part 8, 2nd Playthrough)",https://www.youtube.com/watch?v=uMX3oULXkQ0,True,,0:06:13
Jerma Streams - DAVE THE DIVER,https://www.youtube.com/watch?v=B6RBE4ZUloM,True,,0:02:42
Jerma Streams - DAVE THE DIVER,https://www.youtube.com/watch?v=jazgJ9D4hK8,False,"[0;31mERROR:[0m 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:26
"Jerma Streams - Sorcery! (Part 6, 2nd Playthrough)",https://www.youtube.com/watch?v=nJSJyh0aLH8,True,,0:03:37
Jerma Streams - Steam Next Fest Demos (Part 3),https://www.youtube.com/watch?v=YyIJkVrwojw,True,,0:03:29
Jerma Streams - Final Fantasy XVI (Part 2),https://www.youtube.com/watch?v=5AAwxppqS8A,True,,0:05:13
Jerma Streams - Final Fantasy XVI (Part 2),https://www.youtube.com/watch?v=VN-q_cc1F6k,False,"[0;31mERROR:[0m 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:38
Jerma Streams - Logical Journey of the Zoombinis (Part 2),https://www.youtube.com/watch?v=agUkvRthtvw,True,,0:04:46
Jerma Streams - We Love Katamari Reroll + Royal Reverie (Part 2 Finale),https://www.youtube.com/watch?v=d7ndUoMzcBU,True,,0:03:11
Jerma Streams - Final Fantasy XVI Demo (Part 1),https://www.youtube.com/watch?v=KLBDDb2oV0k,True,,0:03:44
Jerma Streams - Final Fantasy XVI Demo (Part 1),https://www.youtube.com/watch?v=dLLJZ0Y_xUI,False,"[0;31mERROR:[0m 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:32
Jerma Streams - Q Remastered,https://www.youtube.com/watch?v=a448BGNp9rc,True,,0:04:48
Jerma Streams - Q Remastered,https://www.youtube.com/watch?v=uBJPKukrBSo,False,"[0;31mERROR:[0m 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:40
Jerma Streams - The Lord of the Rings: Gollum,https://www.youtube.com/watch?v=oSw_A1GrEVo,True,,0:02:03
Jerma Streams - Disc Room,https://www.youtube.com/watch?v=mI-ipotFvjs,True,,0:04:08
Jerma Streams - Devil May Cry 3: Dante's Awakening (Part 2 Finale),https://www.youtube.com/watch?v=29e14sHkih8,True,,0:06:22
Jerma Streams - Devil May Cry 3: Dante's Awakening,https://www.youtube.com/watch?v=67WwTM96_yw,True,,0:04:42
Jerma Streams - Devil May Cry 3: Dante's Awakening,https://www.youtube.com/watch?v=xdeOdShAHFg,False,"[0;31mERROR:[0m 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:41
Jerma Streams - Shadows of Doubt,https://www.youtube.com/watch?v=Fj3avvaDEtE,True,,0:05:28
Jerma Streams - Shadows of Doubt,https://www.youtube.com/watch?v=-C7QQyb4i0s,False,"[0;31mERROR:[0m 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:31
Jerma Streams - House Flipper (Part 11),https://www.youtube.com/watch?v=QMwtBO4YOuY,True,,0:05:00
Jerma Streams - Watching More 80's and 90's Commercials,https://www.youtube.com/watch?v=vc0Lk00zoA0,True,,0:05:08
ERROR,https://www.youtube.com/watch?v=hfHf5uanvkg,False,"ERROR: 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:29
Jerma Streams - Chop Goblins,https://www.youtube.com/watch?v=l6HMliRCd2o,True,,0:01:45
ERROR,https://www.youtube.com/watch?v=osVUHx2wuXs,False,"ERROR: 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:29
Jerma Streams - The Binding of Isaac: Repentance (Part 3),https://www.youtube.com/watch?v=QVc8-MdLnZ8,True,,0:00:55
Jerma Streams - Roblox [With Ster and Pokelawls],https://www.youtube.com/watch?v=mNmSVfqUMtQ,True,,0:03:39
Jerma Streams - The Legend of Zelda: Breath of the Wild (Part 9),https://www.youtube.com/watch?v=Jmbz8T_6dvQ,True,,0:02:07
Jerma Streams - The Legend of Zelda: Breath of the Wild (Part 8),https://www.youtube.com/watch?v=tzrDjFs0zL4,True,,0:05:04
Jerma Streams - Resident Evil 4 Remake (Part 4 Finale),https://www.youtube.com/watch?v=Uxo2RCqTbhw,True,,0:06:52
Jerma Streams - Resident Evil 4 Remake (Part 3),https://www.youtube.com/watch?v=SY4CjE4nln4,True,,0:04:57
ERROR,https://www.youtube.com/watch?v=u68J2T7sthw,False,"ERROR: 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:49
Jerma Streams - Resident Evil 4 Remake,https://www.youtube.com/watch?v=VOXGbh3gxj8,True,,0:04:49
